Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s),8.Temperature(C),8.Wind(m/s),8.Pressure(Pa),9.Temperature(C),9.Wind(m/s),9.Pressure(Pa)
1756351439000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351444000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351454000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351464000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351469000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351479000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351484000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351489000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351499000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351504000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351509000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351514000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351519000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351524000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351529000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351534000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351539000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351544000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351549000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351554000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351565000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351575000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351595000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351605000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351626000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351631000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351651000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351656000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351661000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351671000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351676000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351681000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756351686000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
