Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s),8.Temperature(C),8.Wind(m/s),8.Pressure(Pa),9.Temperature(C),9.Wind(m/s),9.Pressure(Pa)
1756172216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172236000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172257000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172262000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172267000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172273000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172303000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
