Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s)
1755856722000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856727000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856732000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856737000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856742000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856747000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856757000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856762000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856767000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856777000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856782000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856787000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856792000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856797000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856802000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856807000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856812000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856817000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856822000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856827000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856832000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856837000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856843000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856853000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856858000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856863000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856868000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856873000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856878000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856883000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856888000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856893000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856898000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856904000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856909000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856914000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856919000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856929000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856934000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856939000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856944000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856954000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856959000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856964000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856969000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856974000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856979000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856984000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856989000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856994000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755856999000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857009000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857019000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857075000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857085000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857091000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857106000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857187000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857192000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857212000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857222000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857232000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857237000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755857242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
