Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s),8.Temperature(C),8.Wind(m/s),8.Pressure(Pa),9.Temperature(C),9.Wind(m/s),9.Pressure(Pa)
1756112371000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112376000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112381000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112386000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112391000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112401000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112406000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112421000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112437000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112442000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112447000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112452000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112457000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112472000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112477000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112482000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112487000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112493000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112498000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112508000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112513000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112518000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112523000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112533000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112538000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112543000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112548000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112554000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112558000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112563000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112568000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112573000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112579000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112584000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112589000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112599000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112604000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112609000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112618000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112623000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112628000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112633000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112638000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112644000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112649000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112654000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112659000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112664000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112669000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112674000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112685000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112705000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112715000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112725000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112735000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756112740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
